名称,検索キー,所在地,緯度,経度,分類,世界遺産,OSM_ID
姫路城,ひめじじょう himeji castle 白鷺城,日本 / 兵庫県姫路市,34.8394,134.6939,castle,yes,
原爆ドーム,げんばくどーむ atomic bomb dome,日本 / 広島県広島市,34.3955,132.4536,monument,yes,
金閣寺（鹿苑寺）,きんかくじ kinkakuji,日本 / 京都府京都市,35.0394,135.7292,temple,yes,
白川郷 合掌造り集落,しらかわごう shirakawago,日本 / 岐阜県白川村,36.2578,136.9066,city,yes,
知床,しれとこ shiretoko 知床五湖,日本 / 北海道,44.12,145.08,nature,yes,
白神山地,しらかみさんち shirakami,日本 / 青森県・秋田県,40.5,140.1,nature,yes,
富士山,ふじさん mount fuji fujisan,日本 / 静岡県・山梨県,35.3606,138.7274,nature,yes,
高野山 金剛峯寺,こうやさん koyasan,日本 / 和歌山県高野町,34.2131,135.5843,temple,yes,
軍艦島（端島）,ぐんかんじま hashima gunkanjima,日本 / 長崎県長崎市,32.6277,129.7386,monument,yes,
中尊寺金色堂,ちゅうそんじ chusonji 平泉,日本 / 岩手県平泉町,38.993,141.0996,temple,yes,
仁徳天皇陵古墳,にんとくてんのうりょう 百舌鳥 古市古墳群 daisen kofun,日本 / 大阪府堺市,34.5644,135.4878,monument,yes,
石見銀山,いわみぎんざん iwami ginzan,日本 / 島根県大田市,35.115,132.44,monument,yes,
万里の長城（八達嶺）,ばんりのちょうじょう great wall badaling,中国 / 北京市,40.3597,116.0201,monument,yes,
兵馬俑（秦始皇帝陵）,へいばよう terracotta army xian,中国 / 西安市,34.3841,109.2785,monument,yes,
九寨溝,きゅうさいこう jiuzhaigou,中国 / 四川省,33.26,103.92,nature,yes,
タージ・マハル,たーじまはる taj mahal agra,インド / アーグラ,27.1751,78.0421,monument,yes,
アンコール・ワット,あんこーるわっと angkor wat,カンボジア / シェムリアップ,13.4125,103.867,monument,yes,
ハロン湾,はろんわん ha long bay,ベトナム / クアンニン省,20.9101,107.1839,nature,yes,
アユタヤ遺跡,あゆたや ayutthaya,タイ / アユタヤ,14.3532,100.5689,monument,yes,
ボロブドゥール遺跡,ぼろぶどぅーる borobudur,インドネシア / ジャワ島,-7.6079,110.2038,monument,yes,
昌徳宮,しょうとくきゅう changdeokgung,韓国 / ソウル,37.5794,126.991,castle,yes,
